Cidades,Quantidade_ton,PIB_reais_correntes_2016,População,Grau de Urbanização (Em %)
Turiuba,720,39074.56,1921,83.81
Turmalina,180,54058.33,1852,74.68
Ubarana,5460,441480.8,5838,92.22
Ubatuba,42970,1786358,85866,97.65
Ubirajara,535,91881.7,4593,73.5
Uchoa,1783,311434.9,9626,93.67
Urania,4500,181975.8,8685,86.36
Uru,138,47516.79,1217,92.28
Urupes,4779,338378.3,13039,91.22
Valentim Gentil,3096,339245.9,12268,92.53
Valinhos,35479,5095635,120369,95.5
Vargem Grande do Sul,7500,891382.6,40863,95.9
Vargem Grande Paulista,14423,1745432,49842,100
Varzea Paulista,1476,2360681,116785,100
Vera Cruz,579,123293.7,10584,89.13
Vinhedo,67292,7830624,73561,96.86
Viradouro,4807,292404,18050,97.07
Vista Alegre do Alto,8903,347786,7697,94.19
Vitoria Brasil,504,31994.91,1755,87.35
Votorantim,33048,4387884,116562,96.19
Votuporanga,25419,2680060,89776,97.2
Zacarias,2649,75934.89,2498,83.63
